date,time,testing_party,site,subsite,type,body_wave_magnitude,surface_wave_magnitude,explosive_yield,latitude,longitude,purpose,device_type,rock_type,device_position,name,references
571209,,US,NTS,,URF,,,0.5,,,SF,,,,COULOMBC,E
571228,,CP,,,TMO,,,,,,,,,,,N
580222,,US,NTS,,UNN,,,l1,,,SF,,,,VENUS,E
580223,,CP,NZ,,TMO,,,g1000,73.000N,055.000E,,,,,,N
580227,075900.0,CP,NZ,,TMO,,,g1000,73.000N,055.000E,,,,,,N
580227,102400.0,CP,NZ,,TMO,,,HIGH,73.000N,055.000E,,,,,,N
580314,,US,NTS,,UNN,,,l1,,,SF,,,,URANUS,E
580314,,CP,NZ,,TMO,,,l1000,73.000N,055.000E,,,,,,N
580314,,CP,,,TMO,,,l1000,,,,,,,,N
580315,,CP,,,TMO,,,l1000,,,,,,,,N
580320,,CP,NZ,,TMO,,,LOW,73.000N,055.000E,,,,,,N
580321,,CP,,,TMO,,,LOW,,,,,,,,N
580322,,CP,NZ,,TMO,,,g20,73.000N,055.000E,,,,,,N
580428,,US,PAC,,ALN,,,1.7,,,WE,,,,YUCCA,E
580428,190500.0,GB,CHR,,IRD,,,g1000,,,,,,,GRAPPLE,B
580505,,US,ENW,,URF,,,18,,,WR,,,,CACTUS,E
580511,,US,BKN,,ARG,,,1300,,,WR,,,,FIR,E
580511,,US,ENW,,ARG,,,90,,,WR,,,,BUTTERNU,E
580512,,US,ENW,,URF,,,1370,,,WR,2,,,KOA,EN
580516,,US,ENW,,NDW,,,9,,,WE,,,,WAHOO,E
580520,,US,ENW,,ARG,,,6,,,WR,,,,HOLLY,E
580521,,US,BKN,,ARG,,,24,,,WR,,,,NUTMEG,E
580526,,US,ENW,,ARG,,,350,,,WR,,,,YELLOWWO,E
580526,,US,ENW,,ARG,,,61,,,WR,,,,MAGNOLIA,E
580530,,US,ENW,,ARG,,,15,,,WR,,,,TOBACCO,E
580531,,US,BKN,,ARG,,,130,,,WR,,,,SYCAMORE,E
580602,,US,ENW,,ARG,,,18,,,WR,,,,ROSE,E
580608,,US,ENW,,NDW,,,9,,,WE,,,,UMBRELLA,E
580610,,US,BKN,,ARG,,,195,,,WR,,,,MAPLE,E
580614,,US,BKN,,ARG,,,320,,,WR,,,,ASPEN,E
580614,,US,ENW,,ARG,,,1.5,,,WR,,,,WALNUT,E
580618,,US,ENW,,ARG,,,10,,,WR,,,,LINDEN,E
580627,,US,BKN,,ARG,,,415,,,WR,,,,REDWOOD,E
580627,,US,ENW,,ARG,,,875,,,WR,,,,ELDER,E
580628,,US,ENW,,ARG,,,8900,,,WR,2,,,OAK,EN
580629,,US,BKN,,ARG,,,13,,,WR,,,,HICKORY,E
580701,,US,ENW,,ARG,,,5,,,WR,,,,SEQUOIA,E
580702,,US,BKN,,ARG,,,220,,,WR,,,,CEDAR,E
580705,,US,ENW,,ARG,,,390,,,WR,,,,DOGWOOD,E
580712,,US,BKN,,ARG,,,9300,,,WR,,,,POPLAR,E
580714,,US,ENW,,ARG,,,low,,,SF,,,,SCAEVOLA,E
580717,,US,ENW,,ARG,,,250,,,WR,,,,PISONIA,E
580722,,US,BKN,,ARG,,,62,,,WR,,,,JUNIPER,E
580722,,US,ENW,,ARG,,,195,,,WR,,,,OLIVE,E
580726,,US,ENW,,ARG,,,2000,,,WR,,,,PINE,E
580801,,US,JON,,OCH,,,3800,,,WE,,,,TEAK,E
580806,,US,ENW,,URF,,,FIZZ,,,WR,,,,QUINCE,E
580812,,US,JON,,OCH,,,3800,,,WE,,,,ORANGE,E
580818,,US,ENW,,URF,,,low,,,WR,,,,FIG,E
580822,180000.0,GB,CHR,,ALN,,,g100,,,,,,,,B
580827,,US,SAT,,OCH,,,1-2,,,WE,,,,ARGUS 1,E
580830,,US,SAT,,OCH,,,1-2,,,WE,,,,ARGUS 2,E
580902,172400.0,GB,CHR,,IRD,,,g1000,,,,,,,,B
580906,,US,SAT,,OCH,,,1-2,,,WE,,,,ARGUS 3,E
580911,174800.0,GB,CHR,,IRD,,,g1000,,,,,,,,B
580912,,US,NTS,,C,,,.038,,,SF,,,,OTERO,E
580917,,US,NTS,,C,,,.015,,,SF,,,,BERNALIL,E
580919,,US,NTS,,ALN,,,.083,,,WR,,,,EDDY,E
580920,,CP,NZ,,TMO,,,,73.000N,055.000E,,,,,,N
580921,,US,NTS,,C,,,1.5,,,SF,,,,LUNA,E
580923,,US,NTS,,UNN,,,,,,SF,,,,MERCURY,E
580923,175800.0,GB,CHR,,ALN,,,g100,,,,,,,,B
580926,,US,NTS,,C,,,.002,,,SF,,,,VALENCIA,E
580928,,US,NTS,,UNN,,,.013,,,SF,,,,MARS,E
580929,,US,NTS,,ALN,,,2,,,WR,,,,MORA,E
580930,075000.0,CP,NZ,,TMO,,,50+,73.000N,055.000E,,,,,,N
580930,095500.0,CP,NZ,,TMO,,,50+,73.000N,055.000E,,,,,,N
581002,080000.0,CP,NZ,,TMO,,,g20,73.000N,055.000E,,,,,,N
581002,090100.0,CP,NZ,,TMO,,,,73.000N,055.000E,,,,,,N
581005,,US,NTS,,C,,,5.5,,,SF,,,,COLFAX,E
581005,,US,NTS,,ALN,,,77,,,SF,,,,HIDALGO,E
581005,060000.0,CP,NZ,,TMO,,,,73.000N,055.000E,,,,,,N
581008,,US,NTS,,UNN,,,72,,,WR,,,,TAMALPA,E
581010,,US,NTS,,OWR,,,79,,,WR,,,,QUAY,E
581010,075100.0,CP,NZ,,TMO,,,HIGH,73.000N,055.000E,,,,,,N
581012,075300.0,CP,NZ,,TMO,,,g1000,73.000N,055.000E,,,,,,N
581013,,US,NTS,,ALN,,,1.4,,,WR,,,,LEA,E
581014,,US,NTS,,UNN,,,0.115,,,SF,,,,NEPTUNE,E
581015,,US,NTS,,OWR,,,1.2,,,WR,,,,HAMILTON,E
581015,075100.0,CP,NZ,,TM0,,,g1000,73.000N,055.000E,,,,,,N
581016,,US,NTS,,UNN,,,5,,,WR,,,,LOGAN,E
581016,,US,NTS,,ALN,,,37,,,WR,,,,DONA ANA,E
581017,,US,NTS,,URF,,,24,,,SF,,,,VESTA,E
581018,,US,NTS,,OWR,,,90,,,WR,,,,RIOARRIB,E
581018,095100.0,CP,NZ,,TMO,,,g1000,73.000N,055.000E,,,,,,N
581019,072700.0,CP,NZ,,TMO,,,LOW,73.000N,055.000E,,,,,,N
581020,082000.0,CP,NZ,,TMO,,,g1000,73.000N,055.000E,,,,,,N
581022,,US,NTS,,ALN,,,6,,,WR,,,,SOCORRO,E
581022,,US,NTS,,ALN,,,115,,,WR,,,,WRANGELL,E
581022,,US,NTS,,ALN,,,188,,,WR,,,,RUSHMORE,E
581022,082100.0,CP,NZ,,TMO,,,g1000,73.000N,055.000E,,,,,,N
581024,,US,NTS,,OWR,,,21,,,SF,,,,CATRON,E
581024,,US,NTS,,URF,,,1.7,,,SF,,,,JUNO,E
581024,080300.0,CP,NZ,,TMO,,,HIGH,73.000N,055.000E,,,,,,N
581025,082000.0,CP,NZ,,TMO,,,HIGH,73.000N,055.000E,,,,,,N
581026,,US,NTS,,OWR,,,0.7,,,SF,,,,CERES,E
581026,,US,NTS,,ALN,,,4.9,,,WR,,,,SANFORD,E
581026,,US,NTS,,ALN,,,2.2,,,WR,,,,DE BACA,E
581027,,US,NTS,,OWR,,,0.6,,,SF,,,,CHAVEZ,E
581029,,US,NTS,,UNN,,,55,,,WR,,,,EVANS,E
581029,,US,NTS,,OWR,,,7.8,,,WR,,,,HUMBOLDT,E
581030,,US,NTS,,ALN,,,1.3,,,WR,,,,SANTA FE,E
581030,,US,NTS,,UNN,,,22,,,WR,,,,BLANCA,E
581030,,US,NTS,,OWR,,,0.2,,,SF,,,,TITANIA,E
581101,,CP,,,TMO,,,LOW,,,,,,,,N
581103,,CP,,,TMO,,,LOW,,,,,,,,N
600213,070400.0,FR,REG,,OWR,,,60-70,26.317N,000.067W,WE,P,,,g BLEUE,N
600401,061700.0,FR,REG,,URF,,,l20,26.100N,000.150W,WR,P,,,g BLANCH,N
601227,073000.0,FR,REG,,OWR,,,1.6,,,WE,P,,,g ROUGE,N
610425,060000.0,FR,REG,,OWR,,,IZ0.7,,,,P,,,g VERTE,N
610901,,CP,KTS,,TMO,,,150,50.000N,078.000E,,,,,,N
610904,,CP,KTS,,TMO,,,10-80,50.000N,078.000E,,,,,,N
610905,,CP,KTS,,TMO,,,LOW,50.000N,078.000E,,,,,,N
610906,,CP,KPY,,TMO,,,25,48.450N,044.300E,,,,,,N
610910,090000.0,CP,NZ,,TMO,,,g1000,73.000N,055.000E,,,,,,N
